Time,Open,High,Low,Close,Volume,Symbol
2025-05-21 02:15:00,15.585,15.63,15.584,15.593,1244.0,LINKUSDT_UMCBL
2025-05-21 02:20:00,15.593,15.638,15.588,15.637,958.0,LINKUSDT_UMCBL
2025-05-21 02:25:00,15.637,15.661,15.637,15.644,2184.0,LINKUSDT_UMCBL
2025-05-21 02:30:00,15.644,15.753,15.644,15.749,3073.0,LINKUSDT_UMCBL
2025-05-21 02:35:00,15.749,15.778,15.736,15.767,5211.0,LINKUSDT_UMCBL
2025-05-21 02:40:00,15.767,15.77,15.726,15.741,2757.0,LINKUSDT_UMCBL
2025-05-21 02:45:00,15.741,15.772,15.731,15.731,12832.0,LINKUSDT_UMCBL
2025-05-21 02:50:00,15.731,15.779,15.725,15.779,1764.0,LINKUSDT_UMCBL
2025-05-21 02:55:00,15.779,15.797,15.776,15.787,2906.0,LINKUSDT_UMCBL
2025-05-21 03:00:00,15.787,15.807,15.775,15.785,2722.0,LINKUSDT_UMCBL
2025-05-21 03:05:00,15.785,15.821,15.756,15.821,792.0,LINKUSDT_UMCBL
2025-05-21 03:10:00,15.821,15.871,15.821,15.86,2682.0,LINKUSDT_UMCBL
2025-05-21 03:15:00,15.86,15.894,15.845,15.851,6906.0,LINKUSDT_UMCBL
2025-05-21 03:20:00,15.851,15.871,15.832,15.853,1732.0,LINKUSDT_UMCBL
2025-05-21 03:25:00,15.853,15.9,15.848,15.898,8063.0,LINKUSDT_UMCBL
2025-05-21 03:30:00,15.898,15.907,15.861,15.907,1617.0,LINKUSDT_UMCBL
2025-05-21 03:35:00,15.907,15.935,15.862,15.932,3522.0,LINKUSDT_UMCBL
2025-05-21 03:40:00,15.932,15.934,15.858,15.883,2582.0,LINKUSDT_UMCBL
2025-05-21 03:45:00,15.883,15.937,15.883,15.903,971.0,LINKUSDT_UMCBL
2025-05-21 03:50:00,15.903,15.915,15.857,15.857,5197.0,LINKUSDT_UMCBL
2025-05-21 03:55:00,15.857,15.883,15.838,15.874,3477.0,LINKUSDT_UMCBL
2025-05-21 04:00:00,15.874,15.876,15.833,15.834,4844.0,LINKUSDT_UMCBL
2025-05-21 04:05:00,15.834,15.912,15.834,15.903,1506.0,LINKUSDT_UMCBL
2025-05-21 04:10:00,15.903,15.923,15.866,15.866,1335.0,LINKUSDT_UMCBL
2025-05-21 04:15:00,15.866,15.881,15.852,15.881,899.0,LINKUSDT_UMCBL
2025-05-21 04:20:00,15.881,15.881,15.836,15.847,865.0,LINKUSDT_UMCBL
2025-05-21 04:25:00,15.847,15.873,15.842,15.842,879.0,LINKUSDT_UMCBL
